Coin,Date,Open,High,Low,Close,Volume,Market Cap
btc,1/4/2021,32810.95,33440.22,28722.76,31971.91,81163475344,5.94384E+11
eth,1/4/2021,977.06,1153.19,912.31,1040.23,56945985763,1.1871E+11
doge,1/4/2021,0.01,0.01,0.01,0.01,1372398979,1248286672
btc,1/5/2021,31977.04,34437.59,30221.19,33992.43,67547324782,6.3198E+11
eth,1/5/2021,1041.5,1129.37,986.81,1100.01,41535932781,1.25546E+11
doge,1/5/2021,0.01,0.01,0.01,0.01,687256067,1268003964
btc,1/6/2021,34013.61,36879.7,33514.03,36824.36,75289433811,6.84671E+11
eth,1/6/2021,1101,1209.43,1064.23,1207.11,44699914188,1.37786E+11
doge,1/6/2021,0.01,0.01,0.01,0.01,749915516,1337772240
btc,1/7/2021,36833.87,40180.37,36491.19,39371.04,84762141031,7.32063E+11
eth,1/7/2021,1208.08,1282.58,1167.44,1225.68,40468027280,1.39922E+11
doge,1/7/2021,0.01,0.01,0.01,0.01,520644706,1245523630
btc,1/8/2021,39381.77,41946.74,36838.64,40797.61,88107519480,7.58626E+11
eth,1/8/2021,1225.97,1273.83,1076.08,1224.2,44334826666,1.39769E+11
doge,1/8/2021,0.01,0.01,0.01,0.01,394462164,1258947804
btc,1/9/2021,40788.64,41436.35,38980.88,40254.55,61984162837,7.48563E+11
eth,1/9/2021,1223.74,1303.87,1182.27,1281.08,33233105361,1.46281E+11
doge,1/9/2021,0.01,0.01,0.01,0.01,485842353,1303561985
btc,1/10/2021,40254.22,41420.19,35984.63,38356.44,79980747690,7.13305E+11
eth,1/10/2021,1280.87,1347.93,1194.72,1262.25,40616938053,1.44148E+11
doge,1/10/2021,0.01,0.01,0.01,0.01,458583519,1260915514
btc,1/11/2021,38346.53,38346.53,30549.6,35566.66,1.23321E+11,6.61457E+11
eth,1/11/2021,1261.62,1261.62,924.92,1090.15,60733630300,1.24509E+11
doge,1/11/2021,0.01,0.01,0.01,0.01,637956958,1129945722
btc,1/12/2021,35516.36,36568.53,32697.98,33922.96,74773277909,6.3092E+11
eth,1/12/2021,1088.53,1149.24,1012.76,1043.43,37494601692,1.19188E+11
doge,1/12/2021,0.01,0.01,0.01,0.01,333308457,1031361130
btc,1/13/2021,33915.12,37599.96,32584.67,37316.36,69364315979,6.9407E+11
eth,1/13/2021,1043.74,1134.34,994.55,1130.74,30109792795,1.29176E+11
doge,1/13/2021,0.01,0.01,0.01,0.01,240079033,1102277644
btc,1/14/2021,37325.11,39966.41,36868.56,39187.33,63615990033,7.28904E+11
eth,1/14/2021,1130.23,1244.16,1093.06,1218.45,33410915929,1.39212E+11
doge,1/14/2021,0.01,0.01,0.01,0.01,428369039,1202240980
btc,1/15/2021,39156.71,39577.71,34659.59,36825.37,67760757881,6.85006E+11
eth,1/15/2021,1221.88,1250.51,1090.72,1171.83,35972039310,1.33902E+11
doge,1/15/2021,0.01,0.01,0.01,0.01,398965925,1198824805
btc,1/16/2021,36821.65,37864.37,35633.55,36178.14,57706187875,6.73001E+11
eth,1/16/2021,1171.44,1290.05,1157.62,1233.54,32319240157,1.40969E+11
doge,1/16/2021,0.01,0.01,0.01,0.01,258630480,1185597169
btc,1/17/2021,36163.65,36722.35,34069.32,35791.28,52359854336,6.65832E+11
