Date,Open*,High,Low,Close**,Volume,Market Cap
10-Mar-21,$0.06 ,$0.06 ,$0.05 ,$0.06 ,"$1,534,489,620 ","$7,207,816,086 "
9-Mar-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$2,466,159,943 ","$7,463,686,738 "
8-Mar-21,$0.05 ,$0.06 ,$0.05 ,$0.06 ,"$3,554,150,800 ","$7,971,280,044 "
7-Mar-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$945,455,832 ","$6,706,005,852 "
6-Mar-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$1,480,482,384 ","$6,558,965,902 "
5-Mar-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$1,173,113,591 ","$6,381,297,708 "
4-Mar-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$1,170,617,084 ","$6,437,196,942 "
3-Mar-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$1,093,877,445 ","$6,506,425,615 "
2-Mar-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$1,346,282,318 ","$6,463,312,203 "
1-Mar-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$1,494,427,207 ","$6,505,875,328 "
28-Feb-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$1,408,101,260 ","$6,177,710,994 "
27-Feb-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$1,286,229,526 ","$6,438,192,652 "
26-Feb-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$1,694,323,466 ","$6,488,523,369 "
25-Feb-21,$0.06 ,$0.06 ,$0.05 ,$0.05 ,"$2,356,982,022 ","$6,447,664,671 "
24-Feb-21,$0.05 ,$0.06 ,$0.05 ,$0.06 ,"$4,148,511,571 ","$7,267,918,251 "
23-Feb-21,$0.05 ,$0.05 ,$0.04 ,$0.05 ,"$2,394,345,361 ","$6,089,686,351 "
22-Feb-21,$0.06 ,$0.06 ,$0.05 ,$0.05 ,"$3,366,757,324 ","$6,902,725,620 "
21-Feb-21,$0.05 ,$0.06 ,$0.05 ,$0.06 ,"$2,450,293,068 ","$7,191,635,972 "
20-Feb-21,$0.06 ,$0.06 ,$0.05 ,$0.05 ,"$3,175,468,554 ","$6,985,943,091 "
