Type,Date,Open,High,Low,Close,Adj. close,Volume
s&p,7/24/2008,"1,283.22","1,283.22","1,251.48","1,252.54","1,252.54","6,12,79,80,000"
nasdaq,7/24/2008,2329.209961,2329.209961,2278.909912,2280.110107,2280.110107,2499920000
s&p,7/25/2008,"1,253.51","1,263.23","1,251.75","1,257.76","1,257.76","4,67,25,60,000"
nasdaq,7/25/2008,2294.689941,2312.600098,2282.629883,2310.530029,2310.530029,2045130000
s&p,7/28/2008,"1,257.76","1,260.09","1,234.37","1,234.37","1,234.37","4,28,29,60,000"
nasdaq,7/28/2008,2307.189941,2317.75,2258.620117,2264.219971,2264.219971,1931230000
s&p,7/29/2008,"1,236.38","1,263.20","1,236.38","1,263.20","1,263.20","5,41,42,40,000"
nasdaq,7/29/2008,2274.610107,2320.179932,2274.370117,2319.620117,2319.620117,2274090000
s&p,7/30/2008,"1,264.52","1,284.33","1,264.52","1,284.26","1,284.26","5,63,13,30,000"
nasdaq,7/30/2008,2329.01001,2342.879883,2299.97998,2329.719971,2329.719971,2280940000
s&p,7/31/2008,"1,281.37","1,284.93","1,265.97","1,267.38","1,267.38","5,34,60,50,000"
nasdaq,7/31/2008,2311.330078,2353.389893,2309.639893,2325.550049,2325.550049,2316510000
s&p,8/1/2008,"1,269.42","1,270.52","1,254.54","1,260.31","1,260.31","4,68,48,70,000"
nasdaq,8/1/2008,2326.830078,2328.949951,2286.409912,2310.959961,2310.959961,2312140000
s&p,8/4/2008,"1,253.27","1,260.49","1,247.45","1,249.01","1,249.01","4,56,22,80,000"
nasdaq,8/4/2008,2309.75,2309.75,2280.929932,2285.560059,2285.560059,2010200000
s&p,8/5/2008,"1,254.87","1,284.88","1,254.67","1,284.88","1,284.88","1,21,93,10,000"
nasdaq,8/5/2008,2308.139893,2349.830078,2303.629883,2349.830078,2349.830078,2324730000
s&p,8/6/2008,"1,283.99","1,291.67","1,276.00","1,289.19","1,289.19","4,87,34,20,000"
nasdaq,8/6/2008,2349.169922,2385.77002,2333.530029,2378.370117,2378.370117,2228710000
s&p,8/7/2008,"1,286.51","1,286.51","1,264.29","1,266.07","1,266.07","5,31,93,80,000"
